metric,value
val_auc_mean,0.9240600256982111
val_auc_std,0.009377977270725358
val_ap_mean,0.8880586502424238
val_ap_std,0.017733043630133047
pooled_auc,0.9222476745800362
pooled_ap,0.885467662151076
n_samples,11273.0
