epoch,train_loss,val_loss,train_auc,val_auc,val_ap,is_best
1,0.5880778499528871,0.470192960030596,0.8749296948489936,0.921307718670661,0.8836348599629498,False
2,0.4743523101011912,0.44186816123169914,0.9149989403590584,0.9269728058763451,0.8936382158871079,False
3,0.45130136413565763,0.44576989324160027,0.923046961282383,0.9296165132389977,0.8976548498352125,False
4,0.43813350585335537,0.4368679122605794,0.9273946339526868,0.9282447863294497,0.895415852482029,False
5,0.42480635563743874,0.4469008817219398,0.9322441169673035,0.9326208424057141,0.9011559376653342,True
6,0.4124828737149847,0.43479042762601877,0.9360634349678952,0.9316915805465423,0.900530696613388,False
7,0.40190589311697805,0.42853191767779875,0.9393972796437218,0.9316327557132554,0.8997960037179747,False
8,0.38929197186907977,0.427538319372795,0.9433020138721284,0.9323301283745422,0.8998449414152385,False
9,0.38099522846387635,0.4283428649667283,0.9458317200637575,0.9317256818991725,0.8985499735170428,False
10,0.365640586519495,0.4352632656063832,0.9504088039318861,0.9292678269083543,0.89545137364374,False
