epoch,train_loss,val_loss,train_auc,val_auc,val_ap,is_best
1,0.5706232098188806,0.5332865996260039,0.8808266408474633,0.894096369096369,0.8365667779033072,False
2,0.4572913393061212,0.5137207270927833,0.9208375061446377,0.9013888888888889,0.8496290029886987,False
3,0.440165491021694,0.5095423004576858,0.9264423964449994,0.9059287981162982,0.8545852753993831,False
4,0.42207820063575785,0.5106206143825827,0.932420201778609,0.9075877013377015,0.8567440088322086,False
5,0.40900935729344684,0.5042430974648032,0.936682144972098,0.907944307944308,0.8570052031356048,False
6,0.39891088568995187,0.5121707515397542,0.9399822098611791,0.9083478364728363,0.8584060208053557,False
7,0.3899696520034303,0.5114948210162176,0.942795340179515,0.9084775116025117,0.8565025099891669,False
8,0.3794781062619906,0.5140029418636376,0.9455956536253256,0.9084416803166804,0.8569895055292743,False
9,0.36840000262497163,0.521887838210858,0.9490538376860603,0.9089322276822276,0.8570536037817029,True
10,0.3572605028748512,0.5273810744705335,0.9522063886327291,0.9051443488943488,0.851883979130044,False
11,0.34329149047745033,0.537263186884598,0.9561866537400113,0.9048653767403768,0.8528664071479887,False
12,0.33336476503428836,0.5390227399241756,0.9588079040187316,0.9026754026754027,0.8489215162326016,False
13,0.32001744757624384,0.5557341628091436,0.9621937966550147,0.9023324460824461,0.847422331235307,False
14,0.31003175192373866,0.5594379385592232,0.9647569313433447,0.8996992731367732,0.8448556500378455,False
