epoch,train_loss,val_loss,train_auc,val_auc,val_ap,is_best
1,0.4964615380717013,0.4438122254235582,0.8823477248793783,0.9071918316928442,0.884557238844723,False
2,0.44202417452451276,0.4343986204625424,0.9062095411386853,0.9120468458044392,0.8909456710655488,False
3,0.4284211680900095,0.43243447546871544,0.9122628422184453,0.9140599407215011,0.893597945382737,False
4,0.41892247111505965,0.4335507500858207,0.9162523323743292,0.9143968880164474,0.8938530312216755,False
5,0.4065563386298824,0.42678201409222566,0.9211388149462372,0.914465929177863,0.8938908449802547,False
6,0.395520494132255,0.42867075437338564,0.9256741778222654,0.9147296509985808,0.8941070195681038,True
7,0.38630698301123256,0.4342965975169736,0.9290083681767096,0.911924950165385,0.8912617648517644,False
8,0.378627808546738,0.441588577643739,0.9319252527399158,0.9136996493655976,0.8923336122336308,False
9,0.3671207029113005,0.4387350820434031,0.936134298933083,0.9123478410432416,0.8906221898254637,False
10,0.3607725060781104,0.44066021189639704,0.9382529008102566,0.9104797105424534,0.8885335463134817,False
11,0.35268487123363745,0.45160661910840977,0.9410717912804125,0.9108607032354318,0.888710533615802,False
